ObjectSizeMB,Vector Count,Vector Insert,Vector Remove,VectorPointer Insert,VectorPointer Remove
1,100,59.95,57.4,42.9,42.5
2,50,49.2,47.1,31.05,29.75
3,33,38.15,36.7,30.75,29.3
4,25,36.85,35.3,30.6,29.35
5,20,36.35,34.2,30.8,28.95
6,16,33.8,32.2,30.5,28.3
7,14,34.05,31.85,30.6,28.65
8,12,33.7,30.9,30.45,28
9,11,34.55,31.3,31.6,28.85
10,10,34.3,31.3,31.9,29.15
11,9,34.25,30.8,32.3,28.95
12,8,33.9,29.55,32.25,27.7
13,7,32.15,27.95,30.55,26.5
14,7,34.5,30.15,33.05,28.55
15,6,32.45,27.5,30.95,26.05
16,6,34.3,29.2,32.8,27.5
17,5,31.25,25.7,30.2,24.8
18,5,33.05,27.65,31.55,26.25
19,5,34.9,29.25,33.35,27.55
20,5,37.8,31.1,35.25,29.35
21,4,32.35,25.45,31.05,24.65
22,4,33.75,27,32.75,26.05
23,4,34.9,27.8,33.65,27.25
24,4,36.3,29.65,35.35,28.45
25,4,37.85,30.7,36.85,29.25
26,3,31.65,23.85,31.1,23.1
27,3,33.5,25.25,33.5,25.25
28,3,34.4,25.95,33.55,25.3
29,3,35.6,26.65,35.6,26.6
30,3,37.5,28.25,35.65,27
31,3,37.6,28.05,36.45,27.65
32,3,39.15,29.45,38.15,28.35
33,3,38.15,30.55,37.5,28.9
34,2,29.05,21.25,28.55,20.85
35,2,30,22,29.45,21.7
36,2,30.95,22.4,31.05,21.9
37,2,31.55,23.1,31.35,22.55
38,2,32.75,24.05,31.95,23.25
39,2,33.25,24.25,33.15,23.65
40,2,34.35,24.95,33.9,24.45
41,2,35.2,25.5,35,25.35
42,2,35.85,25.8,35.25,25.6
43,2,36.85,27.05,36.4,26.45
44,2,38.45,27.7,37.05,27
45,2,38.35,28.5,37.35,27.15
46,2,39.2,28.7,38.65,28.15
47,2,40.2,29.3,39.85,28.35
48,2,40.85,29.95,40,29.4
49,2,41.7,30.3,41.25,29.8
50,2,42.4,30.8,41.9,30.25
